text,label
Report the facts -- all the facts. Not just the ones that support your narrative. This fear mongering is getting out of hand. 321 new cases were confirmed in L.A. County yesterday. One in five (the statistic cited for the Delta variant) means approximately 64 cases  were Delta Variant. The population of L.A. County is 10 million+. Enough said.,unclear
If insurance companies refuse to cover someone because they haven’t gotten the Covid vaccine that will probably change everything. It would seem like it would be within their legal rights to do so. It would also seem that this is one of the few times that the general public the majority of Americans would support such a move by an insurance company.￼￼,pro-mitigation
This is absolutely stupid.  Stop the fear mongering.,anti-mitigation
"""Throughout the pandemic, masks have ranked among the most contentious public health measures in the United States, symbolizing a bitter partisan divide over the role of government and individual liberties."" Only in America where wearing a mask is tyranny.",pro-mitigation
It’s frustrating that America has to continually slow down for these people.,unclear
Another mad scientist’s biology experiment gone awry!,unclear
People want tacos and a good beer when they want it.  To heck with everyone else.  That says it all.,pro-mitigation
"The CDC knew in May the Delta variant was coming for us. 

They’ll never walk this back.",unclear
I look at it another way. Anyone who wants a vaccine can get one for free. Why I am I required to wear a mask to protect people who have chosen not to get a vaccine? If someone cannot help themselves then I have no interest in helping them.,anti-mitigation
"I'm curious whether any of the restaurants, or anywhere else, have found a meaningful number of patrons or employees with a temperature high enough to bar entry.

And if so, was there any reluctance on the part of the patron to leave.",unclear
"Still waiting for ""a safe way"" to  control airflow around maskless eating and drinking patrons.

Till then: "" Hon' where s that recipe you pulled out for tonight?""",unclear
"The fact that the majority of these comments are from people who are worried about being exposed to non-vaccinated people and therefore risking their health, speaks to the compromised efficacy of these vaccines. If you're vaccinated and still scared, life may continue to be difficult for you.",anti-mitigation
"There is no delicate balance. Private firms or any job that is requires public interactions should require vaccinations. Does the economy benefit from entertaining the idea of ""freedom""? The answer is no. We have seen this already. The proponents of this anti science thinking have already done enough damage. If you don't want to protect your fellow workers, stay home. There are other folks who will benefit from taking your job while you entertain your perceived ""freedom"" to follow the lies and misinformation propagated by a fraud and a profiteer. No jab, no job.",pro-mitigation
"The human need to socialize overcame the scent of danger.  

It wouldn't be the first time, nor will it be the last.",unclear
"I didn't get vaccinated just so I could stop wearing a mask, though that would ultimately be nice. I got vaccinated to protect the health of my loved ones, myself, and other people who would be at great risk from this virus. I got vaccinated so we could do the things we love again--hug and socialize and linger in book stores. I got vaccinated to help end this pandemic that has killed so many and damaged economies around the world. If I need to wear a mask indoors awhile longer because of a more infectious variant, it's just not a big deal, nor is it a deal-breaker for feeling like we're getting back to ""normal"" again.",pro-mitigation
"No Vaccine...no job No Vaccine...no service. Smoking is not allowed but spewing a virus that can kill you, that's just fine. #toodumbtobeaherd",pro-mitigation
We are experiencing a pandemic.  Give me Big Brother for this one piece of health information until the crisis is over.  I work closely with a small number of other employees in food service.  I would like to be able to minimize my risks.,pro-mitigation
"The data is probably not definitive yet, but if vaccinated persons cannot be sickened more than is usual for the seasonal flu, then what is the need to social distance and wear the mask?  There may be medical reasons to not vaccinated, but otherwise good luck if one chooses not to take the covid-19 vaccine.  It can be said only so many times...the risk of covid-19 death is greater than the ill-effects of the jab.",anti-mitigation
"Last night I learned of 4 individuals who contracted the Delta variant.

Three had received the Pfizer vaccination quite a while back.

All had had Covid earlier on in the pandemic.

Three of the four work together.

The fourth is a baby (she’s doing just fine, the others are feeling “better”.)

11 days after the first positive Delta result, at least one is still testing positive.

All were much sicker than the last bout with Covid.

After inquiring about everyone’s health, I asked why there’s almost no discussion in the news about reinfection (there’s a bit today).

If reinfection is so “rare”, why am I aware of three?

There are a lot of people visiting this city and traveling back to a home near you - every single day.

So, now what do we do?  There are a lot of letters between Delta and Omega…",unclear
"How is vaccine requirement (or medical waiver) any more invasive of privacy than drug screening, which is now widely required?",pro-mitigation
"When someone dies from a vaccine that an employer required, what happens then?  Is the employer responsible?  If an employer requires a vaccine, there is no longer any sort of informed consent on the part of the worker/patient.  Would that push vaccine reactions and deaths into the worker's comp system, or will companies simply be held liable in civil courts?  

That would be really interesting because it might finally give vaccine-injured people the opportunity to actually litigate their claims before a real court with a real judge, jury, rules of evidence, and all legal theories on the table.  That has not been possible since the 80s, thanks to Federal law.",anti-mitigation
"As an 81 year old what right do I have to tell young people how to behave ?

The aged (includes most politicians) need to acknowledge that the young have social needs that differ from the old.",unclear
Right. Restaurant workers are “disposable.” So are seniors. Bottom line is: I want my burger!,anti-mitigation
"So the rights of the vaxers matter. But what about the rights of the rest of us who are vaccinated? Don’t we have a right to not die at the hands of the vaxers? 
Do I have to die so the vaxers can have their right?! 
What about my rights, too?! Am I not human? So I have no rights?!
Do those of us who have accepted the medical advice and been vaccinated have no rights?! Are we disposable so that vaxers can make their point?! 
Why can’t we have separate activities, if necessary, if we as a country choose to satisfy the vaxers?! Must the rest of us die at the hands of vaxers?!",pro-mitigation
"Carrot and stick mentioned, but mostly carrots, no sticks.  I know my former employer (I’m retired) charged employees extra for health insurance if they were smokers.  I was already an ex-smoker when they implemented this policy, thankfully. Stick. 

And if you gave them a ridiculous amount of information about your lifestyle, medical reports/vital statistics, etc, to a 3rd party vendor (supposedly not shared with employer) you got a discount on your health insurance. Carrot.  Why not something similar? 

I totally support requiring many jobs being required to have them.",pro-mitigation
"Why is this sliding into 2nd amendment kind of ""my rights""....""don't tread on me""....I have a right to choose what I put in my body sound of tiny stamping feet? 

That stance means that I have a right to not do everything possible to stop this deadly disease and- I have the right to infect you and maybe kill you. 
That ""logic"" and selfish -childish -willfulness completely escapes me. 
Corporate leaders, college presidents, airline execs, religious leaders, all leadership  need to step up and take ethical responsibility.",pro-mitigation
"JP Morgan Chase looked at Visa credit card spending and spikes in the virus. 

Any where restaurant spending went up the virus spiked three weeks later.",unclear
Workplace and safety demands requiring the vaccine.  Public safety requires quarantine for those who refuse the vaccine.,pro-mitigation
"Litigation? Give me a break. Companies are always getting sued. It’s simply a cost of doing business. Sure, start with incentives, but one that no longer working, then make it mandatory. A company has the right to protect its ability to properly function by requiring sensible public health measures, especially ones as safe and effective as these vaccines. At some point, no vaccine, no job. (Baring REAL risk to being vaccinated....not preferences not religious so called beliefs, excuses about freedom, etc.) As for the military, if the top brass want it done to ensure readiness, as they do with other mandatory vaccinations, then just do it. When my dad served in WW2 he said they got so inoculated they felt like pin cushions. No one cared what the soldiers thought. They just did what made sense for the greater good, a concept in short supply among a great many Americans today......",pro-mitigation
"If vaccines cannot be mandated despite the lethal threat to the community and looming burden to hospitals, shouldn’t they bear the social and financial costs of stopping the spread in the collective world? (6’)
Eg a deduction on their wages for the need for an employer to allocate more real estate, an extra fee for necessitating a separate space to watch a concert, an 8-9am unvaccinated shopping hour in supermarkets",pro-mitigation
"I say, Bring On the Covid Passports!  I am so sick and tired of being tired of the sick.  Once again, my county is in lockdown because of the selfishness of the anti-vaxxers and anti-maskers.  Well, let them keep their maskless civil liberties locked up in their homes while we, the fully vaccinated, can go out and play.  What about my civil liberties?  I have had enough",pro-mitigation
"When restaurants reopened in Paris after the lockdown I did share a few meals  on a terrace with friends who I knew to be as cautious as I am. R0 was way under one the  restaurant owners were so happy to be allowed to reopen that you could see that they were serious about taking precautions. With time though, I noticed when I passed restaurants and cafes a laisser-aller. Waiters wearing masks under their nose or not at all when they were setting tables before clients arrived. 
Now the numbers are up and I don’t trust restaurateurs any more and since many waiters are young I have no way to know if they weren’t partying in large crowds on their day off. 
I am no longer going to restaurants. 
I find it remarkable that these restaurant owners who almost cried on the news to be allowed to reopen can be so irresponsable.",pro-mitigation
"Most Americans are soft, undisciplined, addicted to their pleasures, pastimes and vacations. Every country that has been able to beat back Covid-19 from the position we find ourselves in now had the determination and single-mindedness of purpose to do what it takes and stay home. Not us. I wonder why.",pro-mitigation
"I don't understand why this is still a concern.  This seems like hysteria.  The vaccines protect against serious illness and death. 

Let's be real - if you're under 60 and healthy, the chances of serious illness or death were already VERY low, before the vaccines. 

We'll never completely get rid of covid.  The best we can do is prevent serious illness and death.  Anything else is unrealistic and promulgates fear and unnecessary restrictions. 

I don't see the problem here.  As far as I'm concerned, the pandemic is over in the USA.",anti-mitigation
"Welcome to the United States of Stupidity where most citizens cannot see beyond their own nose. Missy lack knowledge, any kind or f thinking skill as well as the concept of short term pain for much bigger long term benefits. 

How long before the dollar starts to tank?",unclear
"The company I worked for supported a major healthcare provider's data and telecommunications systems. All of our technicians were required to get the flu vaccination in order to enter their facilities. If they refused, they could not work there. It was basically a condition of employment. It is the same with regard to sending children to schools - they must have been vaccinated for the various 'childhood' diseases like measles, etc. It just makes sense. One's personal choice and privacy does not override social responsibility for the good and health of the many. The needs of the many outweigh the needs of the few, or the one. (apologies to Mr. Spock).",pro-mitigation
"My company is reviewing the legal and moral obligations between safety and privacy as they are considering office reopen plans. Personally, while I'd be happy to go back to an office, but depending on the approach, I may forgo. While I have been vaxxed, I don't want to spend 9-10hrs a day enclosed space with anti-vaxxers, exposing my health to  unknown risks. I have older parents and even vaxxed we've all agreed to continue to mask-up given the evolving situation with the variants. I have as much right to my life as they have to their personal choice.",pro-mitigation
"The Covid vaccines have proven to be safe and effective. Adults who refuse them must therefore accept restrictions: access to public places and transportation, and work that involves contact with the public.

Many who question the effectiveness and safety of the vaccines are misinterpreting the data. For example, people confuse a vaccine’s 95% efficacy rate from a controlled study with the notion that 5 out of 100 vaccinated people in the general population are vulnerable to breakthrough infection. Not so.

Real-world breakthrough infections are reported by The Lancet as the following percentages per vaccine: 0.9% for the Pfizer–BioNTech, 1% for the Gamaleya, 1·4% for the Moderna–NIH, 1·8% for the J&J, and 1·9% for the AstraZeneca–Oxford vaccines. In the real world, the odds of a vaccinated person becoming infected are between 1 and 2 out of 100. And when infection happens, the vaccines practically eliminate the progression of advanced Covid requiring hospitalization.

The last unknown, asymptomatic infection, has not emerged among the vaccinated. And, the mRNA vaccines can handle the variants so far. Put all this together with the vaccines’ excellent safety record, and the case for vaccination is overwhelming.

Science has provided a safe alternative to living with, and dying from, this disease. It is every adult American’s patriotic duty to be vaccinated. Those who claim the right to reject vaccination must also accept responsibility for prolonging the pandemic.",pro-mitigation
I have done my part.  Only go to the grocery store and Costco with my mask on.  What is the rest of the country doing?  Piecemeal state by state county by county approach to the virus.  It will never work and it hasn't. What is wrong with people?  Wishing does not make it so.  Facts and science matter.. Wait until more kids go back to school. Exponential community spread cases... This didn't have to happen.,pro-mitigation
"""Driven by a combination of anxiety and murky information about new virus variants, some New Yorkers aren't letting their guard down.""
This is just blatantly untrue, and an incredibly ungenerous and facially ludicrous summation of the reasons people are still wearing masks. Categorically ignoring all the valid reasons -- including a study of over 100 epidemiologists published in these very pages only last week! -- really confirms everything I already believe about the Times and where it seems to be going.",unclear
"There is a difference between the vaccines that the schools require and this vaccine that companies are considering requiring. The vaccines the children get are usually for measles, mumps, rubella, and polio. It took 30 and 40  years to develop these vaccines and they,
 for the most part, provide you complete immunity from ever getting these diseases. This Covid vaccine is more like The flu vaccine. And we have no idea if it is permanent or if we will need a booster and we don’t know a whole lot about it. I just think that there’s a big difference and trying to compare the two is off target.",anti-mitigation
"If this country is ever to reach herd immunity it is critical that businesses, schools, and universities require everyone to get vaccinated.

Otherwise we will be combatting this pandemic years from now and hundreds of thousands more will needlessly lose their lives.",pro-mitigation
"Eating at a restaurant is beyond foolish right now. As someone who spent well over a decade battling a serious illness, I can’t comprehend why people would risk their health/lives to go out to eat!!!",pro-mitigation
"Private companies have the right and the duty to implement safety restrictions to protect all its employees. There is no right to spread a deadly disease! There is no right to work at company X, Y, or Z. A no-vaccer has a choice, an absolute right to work somewhere else!",pro-mitigation
"I contracted Covid-19 in March 2020, at a time when New York City was the epicenter of a virus that took over 30,000 lives in this city alone.
After spending two months in the hospital recovering from it, and one month in rehab learning how to walk again, I am not anxious to have another encounter with this virus -- nor would I likely survive it again.
For that reason, and given the fact that the Pandemic is still raging in other parts of the world with a host of variants yet to be diagnosed, I shall continue to follow the previous guidelines of the CDC, and err on the side of caution.
And there's nothing wrong with that.",pro-mitigation
"it is actually not a tough decision at all. the headline should read ""some companies are so stupid that they are thinking about not requiring a vaccine for employees.",pro-mitigation
"At this point let a considerable amount of the responsibility for the COVID-19 messed up restaurant industry, college sports, and the public schools be laid where it belongs; the nearly 6 months of idiotic pronouncements about SARS-Cov-19 and senseless mask resistance from DJT, Senators Sasse and Hawley and lame governors such as De Santis repeating every dumb, reckless, and foolish utterance by DJT.",pro-mitigation
It's about personal choice. My body my choice. Keep your laws off my body. All the fear mongering and head shaking does nothing but promote more of the same. Fear is control. And control is power. If you control those around you with fear. You don't see the actions of those above you.,anti-mitigation
"Why is the choice cast as  between “health advocate” and “big brother”?  Really the choice for companies will what is good for their business.  If I had a choice in airlines I’d sure go for the one where everyone is vaccinated. Better yet if they require passengers to be vaccinated.  

Same for hotels, restaurants, doctors and dentists offices.... you get my point. 

(And obviously there are the few that cannot get vaccine because of their health... they would be exempt.)",pro-mitigation
"What this article fails to point out is that, like the flu shot, the  vax does not prevent you from getting the CV it only lessons the severity of the infection.  In other words nothing changes, so mandating it is a optic to placate the masses.",anti-mitigation
"Thanks to the bug, I’ve learned to cook...",unclear
"Yeah, we had one chance to break the back of this virus - if we could formulate a plan, cut its lifecycle, and get back to some normalcy.  

We get what we deserve as a population.",pro-mitigation
"Big Brother when a company requires a vaccine to protect the workforce.  NOT Big Brother when a company requires a drug test to protect the workforce.

Why?",unclear
"My wife and I are fully vaccinated. We have a 14 month old. We have jobs that have always been remote. Additionally, we are fortunate to have jobs where our bosses and colleagues are understanding of our need to take care of our baby. Like most parents, we are eager to send our daughter to day care, but, we aren't sure of whether the staff is vaccinated. Whilst I am aware of the low risk of my daughter contracting Covid-19, I am not too keen on how she could possibly be responsible for transmitting it to an elderly neighbor or grand parent. Surely, there is a big business opportunity for day care centers to require vaccination for their staff which in turn would spur parents like ourselves to send their kids.",pro-mitigation
Fully vaccinated since April….this last Friday I sensed a cold coming on. Got tested last night and I’m positive.  This thing is still around and I fear there will be a small uptick in cases since the reopening and de-masking. I will start wearing masks again full time for a few more months.,pro-mitigation
"All of this inability to think ahead and plan according has ended up costing more money and more lives. I blame the GOP for not paying people to stay home and business to stay closed. I blame the greedy millionaires who took PPP loans and then fired employees anyway. We need intelligent, ethical leadership. Conservatives have proven they don’t belong in government.",unclear
Just seems like the free market is acting as it should. Why would I want employees who are potential covid cases when I can have employees who are vaccinated instead? If an employee chooses not to get vaccinated before going to work then they can make another choice in finding a new place of employment more amenable to their perspective,pro-mitigation
"What’s with the NYT large story about Congressman Jeffries giving his support to Maya Wiley yet nothing on Kathryn Garcia getting the endorsement of the Daily News?! 

It would be interesting to see an assessment of which is more likely to garner more 1st choice rankings for either candidate. I’m going to say the DN for Garcia citywide, yet Jeffries endorsement and get out the vote efforts may be more impactful, especially among Blacks and in central Brooklyn.",unclear
"My state is doing an outstanding job.  I see folks wearing masks in public everywhere.
However....I have not been to a restaurant to be seated indoors since early March.   
I still do not feel comfortable in an enclosed room with strangers to consume a meal.",pro-mitigation
"People are weak.  They don't even have the will power to stay home for one short year.  

John McCain spent 6 years in a Vietnamese prison camp, and these American's can't survive without going out to a restaurant or bar.

Pathetic.",pro-mitigation
"Does everyone have a driver’s license? If so, why? My understanding is that driver’s licenses are mandatory everywhere in the country. You would think that health of the community and responsibility are necessary there. Why not with a pandemic that has now killed 600,000 people? 

If they could trace the path of infection ending in death, what would be the charge?",pro-mitigation
"Meanwhile in Massachusetts the moving 7 day average for Covid deaths is 2. New cases have been falling since April 11th and have been low for weeks. You have more chance being killed in a car wreck. If you are a healthy adult and haven’t been vaccinated by now, that’s your choice, but you have to live with the consequences. We must keep a close eye on the cases and deaths. However, we must get on with our lives. There are 9 deaths a day in Massachusetts during the regular flu season and we don’t do anything apart from offer flu jabs.",anti-mitigation
"I really don't think it would be ethical to mandate a vaccine that is only provisionally approved under an emergency declaration. Once the vaccines are fully approved maybe but that is months, possibly years away and by then the urgency  will be gone.",anti-mitigation
"Has everyone forgotten Typhoid Mary? Would she be a Republican? Would she be allowed to work and mingle with the population? 
I have no real problem with no vaccination just do what the insurance companies would do, rate the risk.....and charge accordingly.
I’m sure an actuarial table can be made to cover the bet.",unclear
"Considering that I didn't even catch a cold over the past year, I may never go into a public setting without a mask again!  Just because one is vaccinated, doesn't mean one is not crawling with microbes.  Beside, a lot of folks spit when they talk, so I am no hurry for the masks to go away.",pro-mitigation
"As usual in America we leave our life, liberty and happiness to the mercy of our corporate overlords.",unclear
"Restaurants have devolved into ambush sites for class warfare where the ""oppressed"" are handling your food. Eating at restaurants was rarely healthier, cheaper or much faster than other options in the best of times.

That people are literally dying because of this habit, compulsion or delusion is fairly strong evidence that we are too often living unexamined lives. Yet many of us simultaneously defend nearly every aspect of these lives as if it were our own child. Our restaurant habit and reflexive defense of it may be killing us, but it is a symptom of a much deeper and more daunting societal problem.",unclear
"I have not been out to a restaurant since the beginning of March. My husband and I  miss it greatly, but we live in Florida where masks are not even required when walking in our downtown area. This is an area teaming with restaurants, and people are even lined up at the ice cream shop hip-to-hip waiting to place their order. It is sad that so many people here are not taking the virus seriously. 
I also feel that our state has sent the message that we are a great alternative for people who want to get away this summer. 
Schools are also opening soon and must offer a five day school week per order of DeSantis. Alarming!",pro-mitigation
"I would posit that the number of COVID cases from bars and indoor restaurants are underreported.  Patrons would likely self-select by their perceived invulnerability, i.e. slanting to younger age groups.  The younger age groups have a higher proportion of asymptomatic or lightly symptomatic cases. These cases would not be detected in statewide statistics, however later they can be passed to older folks at events such as family gatherings.  For this reason, a data-driven approach might fail to indict bars and restaurants as a major source of spread.",unclear
"I would be strongly against the idea of mandating these COVID-19 vaccines but I think providing incentives to get vaccinated is a good idea.  One reason that comes to mind for why I think it would be very irresponsible to mandate is that there is not yet any long-term safety data on these vaccines.  

Maybe there are no serious long-term side effects that will emerge or maybe the chance of serious long-term side effects is very low, but at this point it is too early to know.  

I might feel differently about mandating a vaccine after it has already been properly tested over the long-term to show that there are no serious adverse long-term side effects.  Even then I would only support mandating under certain circumstances (ie: to travel internationally, to work in certain health care professions, etc.)",unclear
"Finally, something of value come out of market-based health care. The reason I say that is because the “risk” in health insurance is employer-based, not the individual like car insurance.

If employers find a vaccinated employee group yields lower group premiums, they will mandate vaccination. They may try incentives (lower employee contributions) or penalties (higher employee contributions) first, but will resort to a ‘jab for a job’ quickly. Colleges already are doing it.

I don’t care if you get the vaccine because you think you’re forced, intimidated, or pressured into doing so. Just get the shot.",pro-mitigation
"I will not be taking the risk of dining outdoors. I fear that people will walk by too close without a mask.

I see people congregating to do outdoor dining and it is reckless and not worth the risk. I understand the appeal, but as a covid survivor, even a mild case is no picnic.",pro-mitigation
"To me it's simple.  If people want the right to decide whether or not to get vaccinated, then companies should have the right to give consequences based on that decision.  You don't want a shot?  That's fine, but you can't work here and endanger other employees.  It's not discrimination based on any protected class of views; it's a matter of public safety.

This petulant view that wants all the rights and none of the responsibilities is reminiscent of a spoiled adolescent.",pro-mitigation
Companies that offer subsidized group health insurance should raise their rates to cover the additional costs they will bear for employees who will cost them money by being out and potentially impaired long-term when they get ill with COVid.  Individuals who can prove they and their families have been vaccinated can get a rebate on their Insurance.,pro-mitigation
"The antivaxxers can exercise their rights to refuse and the employer can decide not to employ those who put other workers and clients in danger.  Further, someone who is charged with drunken driving may very well find that their auto insurance is cancelled.  Likewise I think should be the case for those choosing to refuse the COVID vaccine.  Let the antivaxxer have his/her/their way but their health insurance company (or Medicare/Medicaid) should be allowed to cancel their healthcare coverage.  Personal responsibility used to be the mantra of what is now the party of the former guy.",pro-mitigation
"When I went to college, I had a medical exam with a list of required vaccines and had to have a tuberculosis test. As a freelancer, I literally couldn't get an in-person booking until I got the vaccine. I had my first haircut in a year and a half last week–when I called to make an appointment and asked about covid protocols, they reassured me that the all the staff had had the vaccine. My doctor still wears a mask, he says that with all the variants going around, he'll be practicing safety protocols.

When I visit my dad, his housekeeper drives me to the airport to make extra cash. The other day, she was preaching personal freedom and doesn't believe that masks helped and that Florida was better off opening up than all the states that closed down the other day. I'll be taking an Uber instead.",anti-mitigation
"Having been vaccinated and currently WFH but waiting to return to office, I want my employer to require all employees to be vaccinated.  Understanding the challenges of making vaccines a requirement, especially since Trump made masks and vaccines a political issue, the alternative is to require every employee returning to the office to be vaccinated OR receive negative result from a weekly approved PCR test, and answer a series of daily health and social behavior questions in order to get an “approved for office” today. Moreover, vaccines and weekly testing requirements should, in my opinion, be extended not just to return to work but to all business activities, including travel and all internal/external meetings.

My employer is not planning to require vaccines or testing when offices reopen, rather it will rely on local infection data to make decisions, which are lagging statistics. Such an approach makes no sense to me as I believe wide spread return to office requirements without simultaneously requiring employees to be vaccinated will result in increased infections, which will lead to more variants. I imagine others feel like I do... I do not want to return to a life of no social interaction because a breakthrough variant has made the current vaccines ineffective. In my opinion anyone able but not willing to get the vaccine is un-American, selfish, unsupportive of businesses, and must believe a return to a mostly shutdown economy is acceptable... I do not!",pro-mitigation
"I’m fully vaxed and gladly don my very comfortable and well designed KN95 mask (with changeable filters) in most stores. Doesn’t bother me one bit. If I see someone I know I’ll take it off to talk, provided they don’t appear ill.

My young kids play with other young kids, indoors and outdoors.  It’s a risk I’m willing to take because masking is robbing them of their youth and innocence at this point.  They need to see other kids expressions particularly a smile. They’ve already been scarred enough from the pandemic.

Still don’t go to crowded indoor restaurants and events but happy to sit on a patio with anybody who has their shots.  Anti-Vaxers really anger me.   I’m looking forward to seeing my first live concert with 2019 in the fall.  

Navigating the maze of covid safety is a little complicated at this stage. My sense is by the end of the summer science will have more answers and all restrictions will be a memory but indoor masks will stick around for a while so people don’t catch other respiratory illnesses. Not in social gatherings but in public places.

I’m neither Dem nor Rep but usually support the GOP.  DeSantis is probably my favorite politician at the moment and I don’t live in Florida.",pro-mitigation
"Another article that totally fails to mention the vast number of restaurant workers who have not been put back on payroll, despite the high amount of PPP loans awarded to establishments and business owners. As a reader and former server, I would appreciate a deep analysis of these statistics. Do the work, NYT. I live in LA, and this is the majority of people I know who make their living working in the industry. They didn't even get the choice.",unclear
No worries. President Trump stated last night that schools will reopen on Nov 4 because the decision to close schools is political.  I am certain that restaurants and bars have fallen prey to the same sinister politicians and on Nov 4 all will be well.,anti-mitigation
"Most of the world's population is too young to remember ""smallpox"" and, for US, the vaccinations we ALL received as children, with periodic revaccinations (every 7 years as I recall). I read that, today,  some smallpox virus is in a freezer in some lab, in the event it might someday be useful--it is otherwise extinct on the face of the earth.

In today's world of nonsensical denial of facts and truth,  I worry that Covid will remain a significant cause of illness and death for many years.  Too many people have their own reasons to justify not getting vaccinated and our society seems to be  increasingly tolerant of the rights of these nuts, even if protecting their rights results in harm to others.

Science has made significant advances in recent years, but  common sense is clearly on the decline.",pro-mitigation
The only masks which are truly effective are N95s. They are medical grade and protect the wearer and those nearby. The rest of the masks are minimally effective. The virus particles are so tiny that they can easily evade the “protection” of cloth and surgical  masks. One might as well slap a piece  of Swiss cheese on one’s face.,pro-mitigation
"I am not an anti vaxxer.  I was vaccinated without one hesitation or doubt.  I am a nurse and want to see the end of COVID.  

But I cannot help but have doubts.  If by any chance COVID vaccine did result in some kind of birth defects if given to women of child bearing age who later bore children, who would be responsible?",pro-mitigation
