text,annotation_7,annotation_8,annotation_9,annotation_78,annotation_62
"Carrot and stick mentioned, but mostly carrots, no sticks.  I know my former employer (I’m retired) charged employees extra for health insurance if they were smokers.  I was already an ex-smoker when they implemented this policy, thankfully. Stick. 

And if you gave them a ridiculous amount of information about your lifestyle, medical reports/vital statistics, etc, to a 3rd party vendor (supposedly not shared with employer) you got a discount on your health insurance. Carrot.  Why not something similar? 

I totally support requiring many jobs being required to have them.",unclear,,pro-mitigation,pro-mitigation,pro-mitigation
"Why is this sliding into 2nd amendment kind of ""my rights""....""don't tread on me""....I have a right to choose what I put in my body sound of tiny stamping feet? 

That stance means that I have a right to not do everything possible to stop this deadly disease and- I have the right to infect you and maybe kill you. 
That ""logic"" and selfish -childish -willfulness completely escapes me. 
Corporate leaders, college presidents, airline execs, religious leaders, all leadership  need to step up and take ethical responsibility.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"JP Morgan Chase looked at Visa credit card spending and spikes in the virus. 

Any where restaurant spending went up the virus spiked three weeks later.",unclear,,anti-mitigation,unclear,unclear
Workplace and safety demands requiring the vaccine.  Public safety requires quarantine for those who refuse the vaccine.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Litigation? Give me a break. Companies are always getting sued. It’s simply a cost of doing business. Sure, start with incentives, but one that no longer working, then make it mandatory. A company has the right to protect its ability to properly function by requiring sensible public health measures, especially ones as safe and effective as these vaccines. At some point, no vaccine, no job. (Baring REAL risk to being vaccinated....not preferences not religious so called beliefs, excuses about freedom, etc.) As for the military, if the top brass want it done to ensure readiness, as they do with other mandatory vaccinations, then just do it. When my dad served in WW2 he said they got so inoculated they felt like pin cushions. No one cared what the soldiers thought. They just did what made sense for the greater good, a concept in short supply among a great many Americans today......",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"If vaccines cannot be mandated despite the lethal threat to the community and looming burden to hospitals, shouldn’t they bear the social and financial costs of stopping the spread in the collective world? (6’)
Eg a deduction on their wages for the need for an employer to allocate more real estate, an extra fee for necessitating a separate space to watch a concert, an 8-9am unvaccinated shopping hour in supermarkets",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I say, Bring On the Covid Passports!  I am so sick and tired of being tired of the sick.  Once again, my county is in lockdown because of the selfishness of the anti-vaxxers and anti-maskers.  Well, let them keep their maskless civil liberties locked up in their homes while we, the fully vaccinated, can go out and play.  What about my civil liberties?  I have had enough",anti-mitigation,,unclear,pro-mitigation,pro-mitigation
"When restaurants reopened in Paris after the lockdown I did share a few meals  on a terrace with friends who I knew to be as cautious as I am. R0 was way under one the  restaurant owners were so happy to be allowed to reopen that you could see that they were serious about taking precautions. With time though, I noticed when I passed restaurants and cafes a laisser-aller. Waiters wearing masks under their nose or not at all when they were setting tables before clients arrived. 
Now the numbers are up and I don’t trust restaurateurs any more and since many waiters are young I have no way to know if they weren’t partying in large crowds on their day off. 
I am no longer going to restaurants. 
I find it remarkable that these restaurant owners who almost cried on the news to be allowed to reopen can be so irresponsable.",pro-mitigation,,pro-mitigation,unclear,pro-mitigation
"Most Americans are soft, undisciplined, addicted to their pleasures, pastimes and vacations. Every country that has been able to beat back Covid-19 from the position we find ourselves in now had the determination and single-mindedness of purpose to do what it takes and stay home. Not us. I wonder why.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"I don't understand why this is still a concern.  This seems like hysteria.  The vaccines protect against serious illness and death. 

Let's be real - if you're under 60 and healthy, the chances of serious illness or death were already VERY low, before the vaccines. 

We'll never completely get rid of covid.  The best we can do is prevent serious illness and death.  Anything else is unrealistic and promulgates fear and unnecessary restrictions. 

I don't see the problem here.  As far as I'm concerned, the pandemic is over in the USA.",anti-mitigation,,pro-mitigation,anti-mitigation,anti-mitigation
"Welcome to the United States of Stupidity where most citizens cannot see beyond their own nose. Missy lack knowledge, any kind or f thinking skill as well as the concept of short term pain for much bigger long term benefits. 

How long before the dollar starts to tank?",unclear,,unclear,anti-mitigation,pro-mitigation
"The company I worked for supported a major healthcare provider's data and telecommunications systems. All of our technicians were required to get the flu vaccination in order to enter their facilities. If they refused, they could not work there. It was basically a condition of employment. It is the same with regard to sending children to schools - they must have been vaccinated for the various 'childhood' diseases like measles, etc. It just makes sense. One's personal choice and privacy does not override social responsibility for the good and health of the many. The needs of the many outweigh the needs of the few, or the one. (apologies to Mr. Spock).",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"My company is reviewing the legal and moral obligations between safety and privacy as they are considering office reopen plans. Personally, while I'd be happy to go back to an office, but depending on the approach, I may forgo. While I have been vaxxed, I don't want to spend 9-10hrs a day enclosed space with anti-vaxxers, exposing my health to  unknown risks. I have older parents and even vaxxed we've all agreed to continue to mask-up given the evolving situation with the variants. I have as much right to my life as they have to their personal choice.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"The Covid vaccines have proven to be safe and effective. Adults who refuse them must therefore accept restrictions: access to public places and transportation, and work that involves contact with the public.

Many who question the effectiveness and safety of the vaccines are misinterpreting the data. For example, people confuse a vaccine’s 95% efficacy rate from a controlled study with the notion that 5 out of 100 vaccinated people in the general population are vulnerable to breakthrough infection. Not so.

Real-world breakthrough infections are reported by The Lancet as the following percentages per vaccine: 0.9% for the Pfizer–BioNTech, 1% for the Gamaleya, 1·4% for the Moderna–NIH, 1·8% for the J&J, and 1·9% for the AstraZeneca–Oxford vaccines. In the real world, the odds of a vaccinated person becoming infected are between 1 and 2 out of 100. And when infection happens, the vaccines practically eliminate the progression of advanced Covid requiring hospitalization.

The last unknown, asymptomatic infection, has not emerged among the vaccinated. And, the mRNA vaccines can handle the variants so far. Put all this together with the vaccines’ excellent safety record, and the case for vaccination is overwhelming.

Science has provided a safe alternative to living with, and dying from, this disease. It is every adult American’s patriotic duty to be vaccinated. Those who claim the right to reject vaccination must also accept responsibility for prolonging the pandemic.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
I have done my part.  Only go to the grocery store and Costco with my mask on.  What is the rest of the country doing?  Piecemeal state by state county by county approach to the virus.  It will never work and it hasn't. What is wrong with people?  Wishing does not make it so.  Facts and science matter.. Wait until more kids go back to school. Exponential community spread cases... This didn't have to happen.,pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"""Driven by a combination of anxiety and murky information about new virus variants, some New Yorkers aren't letting their guard down.""
This is just blatantly untrue, and an incredibly ungenerous and facially ludicrous summation of the reasons people are still wearing masks. Categorically ignoring all the valid reasons -- including a study of over 100 epidemiologists published in these very pages only last week! -- really confirms everything I already believe about the Times and where it seems to be going.",pro-mitigation,,anti-mitigation,unclear,anti-mitigation
"There is a difference between the vaccines that the schools require and this vaccine that companies are considering requiring. The vaccines the children get are usually for measles, mumps, rubella, and polio. It took 30 and 40  years to develop these vaccines and they,
 for the most part, provide you complete immunity from ever getting these diseases. This Covid vaccine is more like The flu vaccine. And we have no idea if it is permanent or if we will need a booster and we don’t know a whole lot about it. I just think that there’s a big difference and trying to compare the two is off target.",unclear,,pro-mitigation,anti-mitigation,unclear
"If this country is ever to reach herd immunity it is critical that businesses, schools, and universities require everyone to get vaccinated.

Otherwise we will be combatting this pandemic years from now and hundreds of thousands more will needlessly lose their lives.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Eating at a restaurant is beyond foolish right now. As someone who spent well over a decade battling a serious illness, I can’t comprehend why people would risk their health/lives to go out to eat!!!",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Private companies have the right and the duty to implement safety restrictions to protect all its employees. There is no right to spread a deadly disease! There is no right to work at company X, Y, or Z. A no-vaccer has a choice, an absolute right to work somewhere else!",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I contracted Covid-19 in March 2020, at a time when New York City was the epicenter of a virus that took over 30,000 lives in this city alone.
After spending two months in the hospital recovering from it, and one month in rehab learning how to walk again, I am not anxious to have another encounter with this virus -- nor would I likely survive it again.
For that reason, and given the fact that the Pandemic is still raging in other parts of the world with a host of variants yet to be diagnosed, I shall continue to follow the previous guidelines of the CDC, and err on the side of caution.
And there's nothing wrong with that.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"it is actually not a tough decision at all. the headline should read ""some companies are so stupid that they are thinking about not requiring a vaccine for employees.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"At this point let a considerable amount of the responsibility for the COVID-19 messed up restaurant industry, college sports, and the public schools be laid where it belongs; the nearly 6 months of idiotic pronouncements about SARS-Cov-19 and senseless mask resistance from DJT, Senators Sasse and Hawley and lame governors such as De Santis repeating every dumb, reckless, and foolish utterance by DJT.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
It's about personal choice. My body my choice. Keep your laws off my body. All the fear mongering and head shaking does nothing but promote more of the same. Fear is control. And control is power. If you control those around you with fear. You don't see the actions of those above you.,anti-mitigation,,anti-mitigation,anti-mitigation,anti-mitigation
"Why is the choice cast as  between “health advocate” and “big brother”?  Really the choice for companies will what is good for their business.  If I had a choice in airlines I’d sure go for the one where everyone is vaccinated. Better yet if they require passengers to be vaccinated.  

Same for hotels, restaurants, doctors and dentists offices.... you get my point. 

(And obviously there are the few that cannot get vaccine because of their health... they would be exempt.)",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"What this article fails to point out is that, like the flu shot, the  vax does not prevent you from getting the CV it only lessons the severity of the infection.  In other words nothing changes, so mandating it is a optic to placate the masses.",anti-mitigation,,pro-mitigation,anti-mitigation,anti-mitigation
"Thanks to the bug, I’ve learned to cook...",unclear,,unclear,unclear,unclear
"Yeah, we had one chance to break the back of this virus - if we could formulate a plan, cut its lifecycle, and get back to some normalcy.  

We get what we deserve as a population.",unclear,,pro-mitigation,pro-mitigation,unclear
"Big Brother when a company requires a vaccine to protect the workforce.  NOT Big Brother when a company requires a drug test to protect the workforce.

Why?",,,unclear,"unclear,unclear",unclear
"My wife and I are fully vaccinated. We have a 14 month old. We have jobs that have always been remote. Additionally, we are fortunate to have jobs where our bosses and colleagues are understanding of our need to take care of our baby. Like most parents, we are eager to send our daughter to day care, but, we aren't sure of whether the staff is vaccinated. Whilst I am aware of the low risk of my daughter contracting Covid-19, I am not too keen on how she could possibly be responsible for transmitting it to an elderly neighbor or grand parent. Surely, there is a big business opportunity for day care centers to require vaccination for their staff which in turn would spur parents like ourselves to send their kids.",pro-mitigation,,pro-mitigation,pro-mitigation,unclear
Fully vaccinated since April….this last Friday I sensed a cold coming on. Got tested last night and I’m positive.  This thing is still around and I fear there will be a small uptick in cases since the reopening and de-masking. I will start wearing masks again full time for a few more months.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"All of this inability to think ahead and plan according has ended up costing more money and more lives. I blame the GOP for not paying people to stay home and business to stay closed. I blame the greedy millionaires who took PPP loans and then fired employees anyway. We need intelligent, ethical leadership. Conservatives have proven they don’t belong in government.",pro-mitigation,,unclear,unclear,unclear
Just seems like the free market is acting as it should. Why would I want employees who are potential covid cases when I can have employees who are vaccinated instead? If an employee chooses not to get vaccinated before going to work then they can make another choice in finding a new place of employment more amenable to their perspective,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"What’s with the NYT large story about Congressman Jeffries giving his support to Maya Wiley yet nothing on Kathryn Garcia getting the endorsement of the Daily News?! 

It would be interesting to see an assessment of which is more likely to garner more 1st choice rankings for either candidate. I’m going to say the DN for Garcia citywide, yet Jeffries endorsement and get out the vote efforts may be more impactful, especially among Blacks and in central Brooklyn.",unclear,,unclear,unclear,unclear
"My state is doing an outstanding job.  I see folks wearing masks in public everywhere.
However....I have not been to a restaurant to be seated indoors since early March.   
I still do not feel comfortable in an enclosed room with strangers to consume a meal.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"People are weak.  They don't even have the will power to stay home for one short year.  

John McCain spent 6 years in a Vietnamese prison camp, and these American's can't survive without going out to a restaurant or bar.

Pathetic.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Does everyone have a driver’s license? If so, why? My understanding is that driver’s licenses are mandatory everywhere in the country. You would think that health of the community and responsibility are necessary there. Why not with a pandemic that has now killed 600,000 people? 

If they could trace the path of infection ending in death, what would be the charge?",pro-mitigation,,unclear,pro-mitigation,pro-mitigation
"Meanwhile in Massachusetts the moving 7 day average for Covid deaths is 2. New cases have been falling since April 11th and have been low for weeks. You have more chance being killed in a car wreck. If you are a healthy adult and haven’t been vaccinated by now, that’s your choice, but you have to live with the consequences. We must keep a close eye on the cases and deaths. However, we must get on with our lives. There are 9 deaths a day in Massachusetts during the regular flu season and we don’t do anything apart from offer flu jabs.",anti-mitigation,,unclear,anti-mitigation,anti-mitigation
"I really don't think it would be ethical to mandate a vaccine that is only provisionally approved under an emergency declaration. Once the vaccines are fully approved maybe but that is months, possibly years away and by then the urgency  will be gone.",anti-mitigation,,anti-mitigation,anti-mitigation,unclear
"Has everyone forgotten Typhoid Mary? Would she be a Republican? Would she be allowed to work and mingle with the population? 
I have no real problem with no vaccination just do what the insurance companies would do, rate the risk.....and charge accordingly.
I’m sure an actuarial table can be made to cover the bet.",pro-mitigation,,anti-mitigation,unclear,unclear
"Considering that I didn't even catch a cold over the past year, I may never go into a public setting without a mask again!  Just because one is vaccinated, doesn't mean one is not crawling with microbes.  Beside, a lot of folks spit when they talk, so I am no hurry for the masks to go away.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"As usual in America we leave our life, liberty and happiness to the mercy of our corporate overlords.",unclear,,unclear,unclear,unclear
"Restaurants have devolved into ambush sites for class warfare where the ""oppressed"" are handling your food. Eating at restaurants was rarely healthier, cheaper or much faster than other options in the best of times.

That people are literally dying because of this habit, compulsion or delusion is fairly strong evidence that we are too often living unexamined lives. Yet many of us simultaneously defend nearly every aspect of these lives as if it were our own child. Our restaurant habit and reflexive defense of it may be killing us, but it is a symptom of a much deeper and more daunting societal problem.",unclear,,anti-mitigation,unclear,pro-mitigation
"I have not been out to a restaurant since the beginning of March. My husband and I  miss it greatly, but we live in Florida where masks are not even required when walking in our downtown area. This is an area teaming with restaurants, and people are even lined up at the ice cream shop hip-to-hip waiting to place their order. It is sad that so many people here are not taking the virus seriously. 
I also feel that our state has sent the message that we are a great alternative for people who want to get away this summer. 
Schools are also opening soon and must offer a five day school week per order of DeSantis. Alarming!",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"I would posit that the number of COVID cases from bars and indoor restaurants are underreported.  Patrons would likely self-select by their perceived invulnerability, i.e. slanting to younger age groups.  The younger age groups have a higher proportion of asymptomatic or lightly symptomatic cases. These cases would not be detected in statewide statistics, however later they can be passed to older folks at events such as family gatherings.  For this reason, a data-driven approach might fail to indict bars and restaurants as a major source of spread.",pro-mitigation,,anti-mitigation,unclear,unclear
"I would be strongly against the idea of mandating these COVID-19 vaccines but I think providing incentives to get vaccinated is a good idea.  One reason that comes to mind for why I think it would be very irresponsible to mandate is that there is not yet any long-term safety data on these vaccines.  

Maybe there are no serious long-term side effects that will emerge or maybe the chance of serious long-term side effects is very low, but at this point it is too early to know.  

I might feel differently about mandating a vaccine after it has already been properly tested over the long-term to show that there are no serious adverse long-term side effects.  Even then I would only support mandating under certain circumstances (ie: to travel internationally, to work in certain health care professions, etc.)",anti-mitigation,,pro-mitigation,unclear,unclear
"Finally, something of value come out of market-based health care. The reason I say that is because the “risk” in health insurance is employer-based, not the individual like car insurance.

If employers find a vaccinated employee group yields lower group premiums, they will mandate vaccination. They may try incentives (lower employee contributions) or penalties (higher employee contributions) first, but will resort to a ‘jab for a job’ quickly. Colleges already are doing it.

I don’t care if you get the vaccine because you think you’re forced, intimidated, or pressured into doing so. Just get the shot.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
